step,epoch,loss,learning_rate
50,0.08,1.491071014404297,4.906303236797274e-06
100,0.16,1.3849296569824219,4.480408858603067e-06
150,0.24,1.3650111389160156,4.0545144804088585e-06
200,0.32,1.3705731201171876,3.628620102214651e-06
250,0.4,1.3480662536621093,3.2027257240204436e-06
300,0.48,1.3174366760253906,2.7768313458262352e-06
350,0.56,1.3384916687011719,2.3509369676320274e-06
400,0.64,1.3366314697265624,1.9250425894378195e-06
450,0.72,1.336004180908203,1.4991482112436118e-06
500,0.8,1.3355142211914062,1.073253833049404e-06
550,0.88,1.355135955810547,6.473594548551959e-07
600,0.96,1.33441650390625,2.2146507666098808e-07
