step,epoch,loss,learning_rate
50,0.08,1.486630401611328,8.672566371681418e-06
100,0.16,1.3735401916503907,1.7522123893805313e-05
150,0.24,1.357690887451172,1.9591373439273553e-05
200,0.32,1.3674418640136718,1.902383654937571e-05
250,0.4,1.3440779113769532,1.845629965947787e-05
300,0.48,1.315608367919922,1.7888762769580024e-05
350,0.56,1.3377252197265626,1.732122587968218e-05
400,0.64,1.3362579345703125,1.6753688989784337e-05
450,0.72,1.3356512451171876,1.6186152099886495e-05
500,0.8,1.3346705627441406,1.561861520998865e-05
550,0.88,1.3555401611328124,1.5051078320090807e-05
600,0.96,1.333740234375,1.4483541430192965e-05
650,1.04,1.2615406036376953,1.391600454029512e-05
700,1.12,1.2156005096435547,1.3348467650397277e-05
750,1.2,1.2177415466308594,1.2780930760499433e-05
800,1.28,1.2313071441650392,1.2213393870601591e-05
850,1.3599999999999999,1.2285433197021485,1.1645856980703746e-05
900,1.44,1.2011573791503907,1.1078320090805903e-05
950,1.52,1.205953598022461,1.051078320090806e-05
1000,1.6,1.236495590209961,9.943246311010216e-06
1050,1.6800000000000002,1.1722795104980468,9.375709421112373e-06
1100,1.76,1.2298570251464844,8.808172531214529e-06
1150,1.8399999999999999,1.2233515167236328,8.240635641316687e-06
1200,1.92,1.1942988586425782,7.673098751418842e-06
1250,2.0,1.2077848815917969,7.105561861521e-06
1300,2.08,1.1503941345214843,6.538024971623156e-06
1350,2.16,1.151616668701172,5.970488081725313e-06
1400,2.24,1.1192840576171874,5.402951191827469e-06
1450,2.32,1.1399015045166017,4.835414301929626e-06
1500,2.4,1.1211967468261719,4.2678774120317824e-06
1550,2.48,1.1235726928710938,3.700340522133939e-06
1600,2.56,1.1237068939208985,3.1328036322360955e-06
1650,2.64,1.1426238250732421,2.565266742338252e-06
1700,2.7199999999999998,1.128272705078125,1.9977298524404087e-06
1750,2.8,1.139210433959961,1.4301929625425654e-06
1800,2.88,1.130499954223633,8.62656072644722e-07
1850,2.96,1.147767105102539,2.9511918274687856e-07
