step,epoch,loss,learning_rate
50,0.08,1.4803005981445312,9.812606473594548e-06
100,0.16,1.3710331726074219,8.960817717206134e-06
150,0.24,1.356095428466797,8.109028960817717e-06
200,0.32,1.3647813415527343,7.257240204429302e-06
250,0.4,1.3418411254882812,6.405451448040887e-06
300,0.48,1.3121617126464844,5.5536626916524705e-06
350,0.56,1.3338992309570312,4.701873935264055e-06
400,0.64,1.331568145751953,3.850085178875639e-06
450,0.72,1.33170654296875,2.9982964224872236e-06
500,0.8,1.3305931091308594,2.146507666098808e-06
550,0.88,1.3507002258300782,1.2947189097103919e-06
600,0.96,1.330277862548828,4.4293015332197616e-07
